2020年12月4日，中国科学技术大学宣布该校潘建伟等人成功构建76个光子的量子计算原型机(  )，求解数学算法高斯玻色取样只需200秒，世界最快的超级计算机要用6亿年。这一突破使中国成为全球第二个实现“量子优越性”的国家。
A. 五曹
B. 海岛
C. 九章
D. 五经
正确答案: C:九章;

下列特性中，(  )不是进程的特性。
A. 异步性
B. 可重入性
C. 并发性
D. 交互性
正确答案: B:可重入性;

下列关于存储系统层次结构的说法中，不正确的是(  )。
A. 存储层次结构中，离CPU越近的存储器速度越快，价格越贵，容量越小
B. Cache—主存层次设置的目的是为了提高主存的等效访问速度
C. 主存—辅存层次设置的目的是为了提高主存的等效存储容量
D. 存储系统层次结构对程序员都是透明的
正确答案: D:存储系统层次结构对程序员都是透明的;

通常用MIPS为单位来衡量计算机的性能，它指的是计算机的(  )。
A. 传输速率
B. 存储容量
C. 字长
D. 运算速度
正确答案: D:运算速度;

在计算机技术指标中，字长用来描述计算机的(  )。
A. 运算精度
B. 存储容量
C. 存取周期
D. 运算速度
正确答案: A:运算精度;

(  )病毒是一个席卷全球工业界的病毒。作为世界上首个网络“超级破坏性武器”，已经感染了全球超过45000个网络，计算机安防专家认为，该病毒是有史以来最高端的“蠕虫”病毒，2010年6月发现此病毒。
A. 震网
B. 冲击波
C. 红色代码
D. 巨无霸
正确答案: A:震网;

在CPU中配置高速缓冲存储器(Cache)是为了解决(  )。
A. 内存与辅助存储器之间速度不匹配的问题
B. CPU与辅助存储器之间速度不匹配的问题
C. CPU与内存储器之间速度不匹配的问题
D. 主机与外设之间速度不匹配的问题
正确答案: C:CPU与内存储器之间速度不匹配的问题;

设备价格低廉、打印质量高于点阵打印机，还能彩色打印、无噪声，但是打印速度慢、耗材贵，这样的打印机为(  )。
A. 点阵打印机
B. 针式打印机
C. 喷墨打印机
D. 激光打印机
正确答案: C:喷墨打印机;

《计算机软件保护条例》中所称的计算机软件是指(  )
A. 计算机程序
B. 源程序和目标程序
C. 源程序
D. 计算机程序及其相关文档
正确答案: D:计算机程序及其相关文档;

显示器显示图像的清晰程度，主要取决于显示器(  )。
A. 类型
B. 亮度
C. 尺寸
D. 分辨率
正确答案: D:分辨率;

黑客在攻击过程中通常进行嗅探，这是为了(  )。
A. 隐藏攻击痕迹
B. 提升权限
C. 截获敏感信息，如用户口令等
D. 获知目标主机开放了哪些端口服务
正确答案: C:截获敏感信息，如用户口令等;

以下(  )不属于信息安全面临的挑战。
A. 下一代网络中的内容安全呈现出多元化、隐蔽化的特点。
B. 越来越多的安全意识参差不齐的用户让内容安全威胁变得更加难以防范。
C. 现在的大多数移动终端缺乏内容安全设备的防护。
D. 越来越多的人使用移动互联网。
正确答案: D:越来越多的人使用移动互联网。;

感知中国中心设在(  )。
A. 北京
B. 上海
C. 广州
D. 无锡
正确答案: D:无锡;

计算机采用的逻辑元件的发展顺序是(  )。
A. 晶体管、电子管、集成电路、大规模集成电路
B. 电子管、晶体管、集成电路、大规模集成电路
C. 晶体管、电子管、集成电路、芯片
D. 电子管、晶体管、集成电路、芯片
正确答案: B:电子管、晶体管、集成电路、大规模集成电路;

计算机辅助设计简称(  )。
A. CAT
B. CAM
C. CAI
D. CAD
正确答案: D:CAD;

2021年6月清华大学迎来第一个虚拟学生，她有“悟道”超大规模人工智能模型，她的名字是(  )。
A. 华海燕
B. 华如玉
C. 华美丽
D. 华智冰
正确答案: D:华智冰;

2021年5月15日，中国首次火星探测任务天问一号携带的(  )号火星车在乌托邦平原南部预选着陆区成功着陆，开启巡视探测工作。
A. 祝融
B. 句芒
C. 石夷
D. 烛龙
正确答案: A:祝融;

下列是非法IP地址的是(  )。
A. 192.118.120.6
B. 123.137.190.5
C. 202.119.126.7
D. 320.115.9.10
正确答案: D:320.115.9.10;

可以用多种不同的方法描述算法，以下属于算法描述方法的是()。
A. 流程图、自然语言、选择结构、伪代码
B. 流程图、自然语言、顺序结构、伪代码
C. 流程图、自然语言、计算机程序设计语言、伪代码
D. 流程图、自然语言、循环结构、伪代码
正确答案: C:流程图、自然语言、计算机程序设计语言、伪代码;

算法的输出是指算法在执行后，需要将解决问题的结果反馈给用户，以下关于算法输出的描述正确的是()。
A. 算法至少有一个输出
B. 算法可以没有输出，因为该算法的运行结果为“无解”
C. 算法可以有多个输出，所有输出必须出现在算法的结束部分
D. 以上说法都正确
正确答案: A:算法至少有一个输出;
一. 单选题（共20题，10）
一条计算机指令中规定其执行功能的部分称为()。
A. 源地址码
B. 操作码
C. 目标地址码
D. 数据码
正确答案: B:操作码;

“国”这个字的字形码采用16*16 的点阵，需要占用的字节数为 16*16/8=32个字节，若采用24*24 的点阵，则需要占用()个字节。
A. 48
B. 72
C. 64
D. 128
正确答案: B:72;

开放系统互联OSI模型的最高层是()，最底层是()。
A. 网络层/应用层
B. 表示层/链路层
C. 传输层/会话层
D. 应用层/物理层
正确答案: D:应用层/物理层;

子网掩码的作用是识别子网和判别主机属于哪一个网络，它是一个( )位的模式。
A. 16
B. 24
C. 32
D. 64
正确答案: C:32;

在搜索文件时，若用户输入“*.*”，则将搜索( )。
A. 所有含有“*”的文件
B. 所有扩展名含有“*”的文件
C. 所有文件
D. 所有不含“*”的文件
正确答案: C:所有文件;

2020年11月24日(  )探测器成功发射，是中国首个实施无人月面取样返回的月球探测器。
A. 嫦娥三号
B. 玉兔二号
C. 嫦娥五号
D. 玉兔四号
正确答案: C:嫦娥五号;

算法的时间复杂度是指(  )。
A. 执行算法程序所需的时间
B. 算法执行过程中所需要的基本运算次数
C. 算法程序中的指令条数
D. 算法程序的长度
正确答案: B:算法执行过程中所需要的基本运算次数;

将数据依次进行相邻两个数据的比较，如不符合排列顺序要求就交换的排序方法称为(  )
A. 冒泡排序
B. 选择排序
C. 插入排序
D. 二分排序
正确答案: A:冒泡排序;

内存储器的每一个存储单元都被赋予一个唯一的序号，这个序号称为( )。
A. 地址
B. 标号
C. 容量
D. 内容
正确答案: A:地址;

将二进制数0.0111转换为八进制数，结果应该是( )。
A. 0.31
B. 0.34
C. 0.07
D. 0.32
正确答案: B:0.34;

冯·诺依曼为现代计算机的结构奠定了基础，他的主要设计思想是(  )。
A. 存储程序
B. 数据存储
C. 虚拟存储
D. 采用电子元件
正确答案: A:存储程序;

URL称为(  )
A. 统一资源定位器
B. 域名地址
C. 网址
D. 主页
正确答案: A:统一资源定位器;

ASCII码表中，字符“a”为十进制数97，那么字符“c”所对应的十进制数值是()。
A. 45
B. 65
C. 99
D. 100
正确答案: C:99;

Internet的基础是TCP/IP，广义上它是(  )
A. 单一的协议
B. 两个协议
C. 3个协议
D. 协议集
正确答案: D:协议集;

HTML是(  )
A. 超文本标记语言
B. 超文本语言
C. 标注语言
D. 超文本链接语言
正确答案: A:超文本标记语言;

IP地址192.168.0.1属于(  )。
A. A类
B. B类
C. C类
D. D类
正确答案: C:C类;

结构化程序设计是一种面向(  )的设计方法。
A. 过程
B. 模块
C. 数据结构
D. 程序
正确答案: A:过程;

栈的最主要特点是(  )。
A. 先进先出
B. 后进先出
C. 后进后出
D. 随意进出
正确答案: B:后进先出;

在面向对象的程序设计中，类将数据和(  )封装在一起。
A. 文件
B. 方法
C. 控制结构
D. 程序
正确答案: B:方法;

结构化程序设计常用的基本结构是(  )。
A. 顺序、选择、循环
B. 递归、嵌套、调用
C. 过程、子过程、主程序
D. 顺序、转移、调用
正确答案: A:顺序、选择、循环;
以下不是个人用户使用虚拟机的原因是(  )。
A. 真正的计算机太贵，买不起
B. 创建多种系统演示环境和学习
C. 用于软件测试、安全测试和从事对系统有风险的工作
D. 用于系统安装与配置、复杂应用系统的教学与培训
正确答案: A:真正的计算机太贵，买不起;

控制和管理计算机硬件和软件资源，合理地组织计算机工作流程，方便用户使用的程序集合是(  )。
A. 操作系统
B. 监控程序
C. 应用程序
D. 编译系统
正确答案: A:操作系统;

操作系统中负责对进程进行调度的是(  )。
A. 存储器
B. 设备
C. 文件
D. 处理器
正确答案: D:处理器;

UNIX是(  )。
A. 单用户单任务操作系统
B. 单用户多任务操作系统
C. 多用户单任务操作系统
D. 多用户多任务操作系统
正确答案: D:多用户多任务操作系统;

CPU是指计算机的(  )。
A. 运算器
B. 控制器
C. 存储器
D. 运算器和控制器
正确答案: D:运算器和控制器;

计算机能够直接识别和处理的语言是(  )。
